SAP NPM_910-00105_F_S,Количество
1014442,1
1014267,2
1014040,8
1042753,1
1014236,1
1014539,1
1014130,1
1014278,1
1016520,1
1020155,1
1014055,1
1014264,3
1016435,1
1014046,1
1019954,1
1024264,1
1014280,2
1014279,2
1014043,5
1019148,1
1022403,2
1020194,1
1015253,1
1019895,2
1046156,1
1016837,1
1050777,1
1014044,4
1019952,1
1014246,1
1042061,1
1014133,1
1029468,1
1014277,6
1020966,1
1021831,1
1016286,1
1021303,1
1019953,2
1014439,4
1014156,1
1017564,2
1014072,4
1017069,1
1019751,1
1022792,2
1014274,1
1019161,2
1025849,1
1014036,1
1014283,1
1027884,1
1020157,1
1018604,2
